City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Bubaque,GW,79.27,11.2833,-15.8333,"Casa Dora, Bubaque"
3,Padang,ID,73.4,-0.9492,100.3543,Mercure Padang
5,Hilo,US,77.0,19.7297,-155.09,Hilo Hawaiian Hotel
8,Avarua,CK,84.2,-21.2078,-159.775,Paradise Inn
11,Kapaa,US,78.8,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
13,Mar Del Plata,AR,78.8,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Mouila,GA,74.52,-1.8685,11.0559,Hôtel du Lac Bleu
17,Hobart,AU,73.0,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
19,Namatanai,PG,80.71,-3.6667,152.4333,Namatanai Hotel
26,Vaini,TO,80.6,-21.2,-175.2,Keleti Beach Resort
29,Noumea,NC,80.6,-22.2763,166.4572,Hôtel Le Lagon
31,Puerto Ayora,EC,84.2,-0.7393,-90.3518,Castillo Galapagos
35,Port Hedland,AU,78.8,-20.3167,118.5667,The Esplanade Hotel
36,Rikitea,PF,80.29,-23.1203,-134.9692,Pension Maro'i
38,Tucurui,BR,80.62,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
39,Butaritari,KI,78.89,3.0707,172.7902,Isles Sunset Lodge
42,Pimentel,PE,78.8,-6.8367,-79.9342,Casona Del Muelle
45,Manadhoo,MV,80.71,5.7667,73.3833,Vevu Guesthouse
46,Puerto Escondido,MX,84.2,15.85,-97.0667,Aldea del Bazar Hotel and Spa
47,New Norfolk,AU,73.0,-42.7826,147.0587,The Shingles Riverside Cottages
49,Souillac,MU,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
50,Natal,BR,78.8,-5.795,-35.2094,Villa Park Hotel | Natal
54,Arraial Do Cabo,BR,82.4,-22.9661,-42.0278,Pousada Porto Praia
56,Georgetown,MY,80.01,5.4112,100.3354,Cititel Penang
61,Namibe,AO,75.99,-15.1961,12.1522,Hotel Chik Chik Namibe
64,Saint-Philippe,RE,78.8,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
65,Hithadhoo,MV,81.88,-0.6,73.0833,Scoop Guest House
72,Atuona,PF,78.22,-9.8,-139.0333,Villa Enata
77,Victoria Point,AU,75.99,-27.5833,153.3,Bay Retreat Motel
83,Bathsheba,BB,80.6,13.2167,-59.5167,Atlantis Hotel
87,Ilebo,CD,70.25,-4.3167,20.5833,Hôtel des palmes
89,Lodja,CD,70.16,-3.4833,23.4333,
93,Borba,BR,81.32,-4.3878,-59.5939,Hotel da Amazônia
95,Grand Gaube,MU,75.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
99,Carnarvon,AU,71.6,-24.8667,113.6333,Hospitality Carnarvon
102,Mayumba,GA,78.6,-3.432,10.6554,LIKWALE LODGE
104,Tevaitoa,PF,81.64,-16.7833,-151.5,Hôtel Raiatea Lodge
105,San-Pedro,CI,78.93,4.7485,-6.6363,Hotel Maria
106,Bambous Virieux,MU,77.0,-20.3428,57.7575,Casa Tia Villa
112,Xai-Xai,MZ,78.66,-25.0519,33.6442,Complexo da Familia
114,Dingle,PH,74.97,10.9995,122.6711,SEGAYA PROPERTY
118,Illapel,CL,80.4,-31.6308,-71.1653,Hotel Londres
120,Yulara,AU,77.0,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
125,Rawson,AR,79.34,-43.3002,-65.1023,Hosteria Sampedro
126,Cabo San Lucas,MX,72.0,22.8909,-109.9124,Hotel Tesoro Los Cabos
130,Mount Isa,AU,80.6,-20.7333,139.5,ibis Styles Mt Isa Verona
133,Cayenne,GF,80.6,4.9333,-52.3333,Hôtel Le Dronmi
134,Kiama,AU,78.01,-34.6833,150.8667,The Sebel Kiama Harbourside
135,Bandraboua,YT,75.2,-12.7044,45.1223,HASSANI Mikidachi
136,Ca Mau,VN,73.09,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
141,Faanui,PF,81.32,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Ndungu,TZ,70.77,-4.3667,38.05,
147,Mahebourg,MU,77.0,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
149,Hervey Bay,AU,73.4,-25.2986,152.8535,Shelly Bay Resort
150,Manado,ID,73.4,1.4869999999999999,124.8455,Aryaduta Hotel
151,Port Blair,IN,74.53,11.6667,92.75,Welcomhotel Bay Island Port Blair
153,Bandarbeyla,SO,74.84,9.4942,50.8122,JABIR HOTEL
154,Sabang,ID,80.62,5.8933,95.3214,Hotel Citra
159,Maldonado,UY,81.0,-34.6667,-54.9167,La Cimarrona
162,Basco,PH,71.47,20.4487,121.9702,Nathaniel's Lodge
167,Thinadhoo,MV,81.82,0.5333,72.9333,
171,Bartica,GY,82.4,6.4,-58.6167,Relax Inn Hotel
173,Port Macquarie,AU,71.01,-31.4333,152.9167,Rydges Port Macquarie
