City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Warmbad,NA,2021-01-24 21:16:09,-28.45,18.7333,83.8,19,2,12.01
1,Urengoy,RU,2021-01-24 21:13:52,65.9667,78.3667,-42.63,76,0,2.51
2,Bubaque,GW,2021-01-24 21:13:48,11.2833,-15.8333,79.27,59,0,8.61
3,Padang,ID,2021-01-24 21:22:13,-0.9492,100.3543,73.4,94,40,4.61
4,Port Alfred,ZA,2021-01-24 21:17:12,-33.5906,26.891,64.99,90,95,1.01
5,Hilo,US,2021-01-24 21:21:37,19.7297,-155.09,77.0,69,90,5.75
6,Dikson,RU,2021-01-24 21:21:42,73.5069,80.5464,-15.23,89,100,12.59
7,Burnie,AU,2021-01-24 21:15:33,-41.0667,145.9167,69.01,57,95,5.01
8,Avarua,CK,2021-01-24 21:21:35,-21.2078,-159.775,84.2,79,40,11.5
9,Thompson,CA,2021-01-24 21:22:00,55.7435,-97.8558,-9.4,77,75,11.5
10,Ushuaia,AR,2021-01-24 21:21:34,-54.8,-68.3,57.2,54,40,18.41
11,Kapaa,US,2021-01-24 21:20:37,22.0752,-159.319,78.8,73,1,13.8
12,Demba,CD,2021-01-24 21:23:36,-5.51,22.2667,69.08,92,100,1.01
13,Mar Del Plata,AR,2021-01-24 21:21:51,-38.0023,-57.5575,78.8,83,20,17.27
14,Thunder Bay,CA,2021-01-24 21:23:36,48.4001,-89.3168,21.0,58,40,16.11
15,Hermanus,ZA,2021-01-24 21:21:43,-34.4187,19.2345,66.0,73,27,3.0
16,Mouila,GA,2021-01-24 21:23:36,-1.8685,11.0559,74.52,92,46,0.76
17,Hobart,AU,2021-01-24 21:17:53,-42.8794,147.3294,73.0,40,0,8.05
18,Jesup,US,2021-01-24 21:19:53,31.6074,-81.8854,64.4,63,90,6.11
19,Namatanai,PG,2021-01-24 21:13:58,-3.6667,152.4333,80.71,76,29,2.55
20,Taranagar,IN,2021-01-24 21:23:36,28.6709,75.0351,55.17,43,0,6.87
21,Laguna,US,2021-01-24 21:20:57,38.421,-121.4238,51.01,66,90,6.91
22,Lamego,PT,2021-01-24 21:23:37,41.0974,-7.8099,51.01,9,100,4.36
23,Gwadar,PK,2021-01-24 21:23:37,25.1216,62.3254,63.05,29,0,13.8
24,Lebu,CL,2021-01-24 21:21:52,-37.6167,-73.65,59.54,67,0,17.98
25,Punta Arenas,CL,2021-01-24 21:21:34,-53.15,-70.9167,53.6,66,75,23.02
26,Vaini,TO,2021-01-24 21:21:40,-21.2,-175.2,80.6,78,75,4.61
