City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2021-01-19 19:26:32,22.8909,-109.9124,71.6,49,90,3.44
1,Ushuaia,AR,2021-01-19 19:22:56,-54.8,-68.3,60.8,44,20,5.75
2,Jamestown,US,2021-01-19 19:27:29,42.097,-79.2353,28.99,80,90,14.97
3,Hithadhoo,MV,2021-01-19 19:27:29,-0.6,73.0833,81.12,70,0,8.66
4,Honavar,IN,2021-01-19 19:27:29,14.2833,74.45,75.45,66,0,3.87
5,Atar,MR,2021-01-19 19:27:29,20.5169,-13.0499,68.04,19,5,10.31
6,Mitla,MX,2021-01-19 19:27:29,16.9167,-96.4,78.8,24,75,2.3
7,Ulaangom,MN,2021-01-19 19:27:29,49.9811,92.0667,-18.49,86,73,2.93
8,Alta Floresta,BR,2021-01-19 19:27:30,-9.8756,-56.0861,77.0,88,90,4.61
9,Mataura,NZ,2021-01-19 19:27:30,-46.1927,168.8643,43.93,95,100,10.13
10,Spisska Nova Ves,SK,2021-01-19 19:27:30,48.9446,20.5615,30.2,69,90,12.66
11,Carnarvon,AU,2021-01-19 19:27:30,-24.8667,113.6333,77.0,88,40,17.27
12,Hobart,AU,2021-01-19 19:27:30,-42.8794,147.3294,44.6,76,20,10.36
13,La Ronge,CA,2021-01-19 19:27:30,55.1001,-105.2842,19.4,79,100,8.05
14,Albany,US,2021-01-19 19:23:42,42.6001,-73.9662,37.0,60,100,8.77
15,Hermanus,ZA,2021-01-19 19:27:30,-34.4187,19.2345,68.0,76,76,1.01
16,Cockburn Town,TC,2021-01-19 19:27:30,21.4612,-71.1419,77.0,83,75,11.5
17,Nanortalik,GL,2021-01-19 19:23:51,60.1432,-45.2371,28.62,85,3,11.32
18,Tuktoyaktuk,CA,2021-01-19 19:27:31,69.4541,-133.0374,-4.0,84,75,13.8
19,East London,ZA,2021-01-19 19:27:31,-33.0153,27.9116,75.2,78,40,24.16
20,Isangel,VU,2021-01-19 19:27:31,-19.55,169.2667,81.43,78,100,2.01
21,Champerico,GT,2021-01-19 19:27:31,14.3,-91.9167,89.6,48,20,4.61
22,Puerto Ayora,EC,2021-01-19 19:23:54,-0.7393,-90.3518,82.4,74,40,19.57
23,Barrow,US,2021-01-19 19:27:31,71.2906,-156.7887,1.4,85,90,25.32
24,Constitucion,CL,2021-01-19 19:27:31,-35.3333,-72.4167,69.44,63,12,6.78
25,Hamilton,US,2021-01-19 19:24:22,39.1834,-84.5333,44.6,39,1,5.75
26,Starodub,RU,2021-01-19 19:27:32,52.5844,32.7633,2.08,94,68,3.78
27,Lavrentiya,RU,2021-01-19 19:27:32,65.5833,-171.0,-16.33,82,0,4.79
28,Vaini,TO,2021-01-19 19:23:43,-21.2,-175.2,78.8,94,40,3.44
29,Atuona,PF,2021-01-19 19:27:32,-9.8,-139.0333,77.25,78,26,11.3
30,Burgeo,CA,2021-01-19 19:27:32,47.6167,-57.6152,28.53,91,98,18.07
31,Cayenne,GF,2021-01-19 19:26:09,4.9333,-52.3333,84.2,61,75,13.8
32,Nerchinskiy Zavod,RU,2021-01-19 19:27:32,51.3088,119.61,-15.75,89,100,1.45
33,Kaputa,ZM,2021-01-19 19:27:33,-8.4689,29.6619,69.66,82,100,6.53
34,Bambous Virieux,MU,2021-01-19 19:27:33,-20.3428,57.7575,80.6,89,20,2.3
35,Rikitea,PF,2021-01-19 19:27:33,-23.1203,-134.9692,77.97,76,63,18.43
36,Presidencia Roque Saenz Pena,AR,2021-01-19 19:27:33,-26.7852,-60.4388,89.01,34,0,4.0
37,Perth,AU,2021-01-19 19:22:46,-31.9333,115.8333,73.99,83,75,4.61
38,Xining,CN,2021-01-19 19:27:33,36.6167,101.7667,19.18,68,100,1.97
39,Bluff,NZ,2021-01-19 19:27:33,-46.6,168.3333,52.5,75,81,17.81
